country_name,country_code,indicator_name,year,value,region,continent
afghanistan,afg,government effectiveness,2005-12-31,-1.2172384262085,south asia,asia
afghanistan,afg,government effectiveness,2006-12-31,-1.46551132202148,south asia,asia
afghanistan,afg,government effectiveness,2007-12-31,-1.44346809387207,south asia,asia
afghanistan,afg,government effectiveness,2008-12-31,-1.53343546390533,south asia,asia
afghanistan,afg,government effectiveness,2009-12-31,-1.51100194454193,south asia,asia
afghanistan,afg,government effectiveness,2010-12-31,-1.48080575466156,south asia,asia
afghanistan,afg,government effectiveness,2011-12-31,-1.47703349590302,south asia,asia
afghanistan,afg,government effectiveness,2012-12-31,-1.37641882896423,south asia,asia
afghanistan,afg,government effectiveness,2013-12-31,-1.4007453918457,south asia,asia
afghanistan,afg,government effectiveness,2014-12-31,-1.36231827735901,south asia,asia
afghanistan,afg,government effectiveness,2015-12-31,-1.35180771350861,south asia,asia
afghanistan,afg,government effectiveness,2016-12-31,-1.25418150424957,south asia,asia
afghanistan,afg,government effectiveness,2017-12-31,-1.35992228984833,south asia,asia
afghanistan,afg,government effectiveness,2018-12-31,-1.47929918766022,south asia,asia
afghanistan,afg,government effectiveness,2019-12-31,-1.49562668800354,south asia,asia
afghanistan,afg,government effectiveness,2020-12-31,-1.58514487743378,south asia,asia
afghanistan,afg,government effectiveness,2021-12-31,-1.63436961174011,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,1996-12-31,-2.41730952262878,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,1998-12-31,-2.42735457420349,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2000-12-31,-2.43896889686584,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2002-12-31,-2.03503370285034,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2003-12-31,-2.19837236404419,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2004-12-31,-2.29568219184875,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2005-12-31,-2.06750988960266,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2006-12-31,-2.21913456916809,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2007-12-31,-2.4133734703064,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2008-12-31,-2.69136095046997,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2009-12-31,-2.71142148971558,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2010-12-31,-2.57915186882019,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2011-12-31,-2.50205969810486,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2012-12-31,-2.41856145858765,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2013-12-31,-2.51934909820557,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2014-12-31,-2.41106843948364,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2015-12-31,-2.57122182846069,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2016-12-31,-2.6710538864135698,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2017-12-31,-2.80108380317688,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2018-12-31,-2.76386427879334,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2019-12-31,-2.65553116798401,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2020-12-31,-2.70502972602844,south asia,asia
afghanistan,afg,political stability and absence of violence/terrorism,2021-12-31,-2.52985525131226,south asia,asia
afghanistan,afg,regulatory quality,1996-12-31,-2.09033036231995,south asia,asia
afghanistan,afg,regulatory quality,1998-12-31,-2.06287217140198,south asia,asia
afghanistan,afg,regulatory quality,2000-12-31,-2.0802526473999,south asia,asia
afghanistan,afg,regulatory quality,2002-12-31,-1.81154572963715,south asia,asia
afghanistan,afg,regulatory quality,2003-12-31,-1.46310782432556,south asia,asia
afghanistan,afg,regulatory quality,2004-12-31,-1.51154899597168,south asia,asia
afghanistan,afg,regulatory quality,2005-12-31,-1.64344024658203,south asia,asia
afghanistan,afg,regulatory quality,2006-12-31,-1.68946862220764,south asia,asia
afghanistan,afg,regulatory quality,2007-12-31,-1.70887231826782,south asia,asia
afghanistan,afg,regulatory quality,2008-12-31,-1.60716688632965,south asia,asia
afghanistan,afg,regulatory quality,2009-12-31,-1.66450762748718,south asia,asia
afghanistan,afg,regulatory quality,2010-12-31,-1.51652824878693,south asia,asia
afghanistan,afg,regulatory quality,2011-12-31,-1.53632390499115,south asia,asia
afghanistan,afg,regulatory quality,2012-12-31,-1.1925797462463401,south asia,asia
afghanistan,afg,regulatory quality,2013-12-31,-1.19309020042419,south asia,asia
afghanistan,afg,regulatory quality,2014-12-31,-1.12413370609283,south asia,asia
afghanistan,afg,regulatory quality,2015-12-31,-1.00620818138123,south asia,asia
afghanistan,afg,regulatory quality,2016-12-31,-1.33658170700073,south asia,asia
afghanistan,afg,regulatory quality,2017-12-31,-1.35537278652191,south asia,asia
afghanistan,afg,regulatory quality,2018-12-31,-1.14759039878845,south asia,asia
afghanistan,afg,regulatory quality,2019-12-31,-1.12304580211639,south asia,asia
afghanistan,afg,regulatory quality,2020-12-31,-1.40276098251343,south asia,asia
afghanistan,afg,regulatory quality,2021-12-31,-1.33802223205566,south asia,asia
afghanistan,afg,rule of law,1996-12-31,-1.78807544708252,south asia,asia
afghanistan,afg,rule of law,1998-12-31,-1.73488676548004,south asia,asia
afghanistan,afg,rule of law,2000-12-31,-1.78066074848175,south asia,asia
afghanistan,afg,rule of law,2002-12-31,-1.67347323894501,south asia,asia
afghanistan,afg,rule of law,2003-12-31,-1.5582937002182,south asia,asia
afghanistan,afg,rule of law,2004-12-31,-1.6939252614975,south asia,asia
afghanistan,afg,rule of law,2005-12-31,-1.66296553611755,south asia,asia
afghanistan,afg,rule of law,2006-12-31,-1.87900483608246,south asia,asia
afghanistan,afg,rule of law,2007-12-31,-1.85256004333496,south asia,asia
afghanistan,afg,rule of law,2008-12-31,-1.90330755710602,south asia,asia
afghanistan,afg,rule of law,2009-12-31,-1.87611877918243,south asia,asia
afghanistan,afg,rule of law,2010-12-31,-1.87005805969238,south asia,asia
afghanistan,afg,rule of law,2011-12-31,-1.9225001335144,south asia,asia
afghanistan,afg,rule of law,2012-12-31,-1.6518931388855,south asia,asia
afghanistan,afg,rule of law,2013-12-31,-1.60911154747009,south asia,asia
afghanistan,afg,rule of law,2014-12-31,-1.43704450130463,south asia,asia
afghanistan,afg,rule of law,2015-12-31,-1.49849236011505,south asia,asia
afghanistan,afg,rule of law,2016-12-31,-1.51238059997559,south asia,asia
afghanistan,afg,rule of law,2017-12-31,-1.5775955915451,south asia,asia
afghanistan,afg,rule of law,2018-12-31,-1.6813577413559,south asia,asia
afghanistan,afg,rule of law,2019-12-31,-1.72789442539215,south asia,asia
afghanistan,afg,rule of law,2020-12-31,-1.81989753246307,south asia,asia
afghanistan,afg,rule of law,2021-12-31,-1.87143611907959,south asia,asia
afghanistan,afg,voice and accountability,1996-12-31,-1.90854012966156,south asia,asia
afghanistan,afg,voice and accountability,1998-12-31,-2.03930115699768,south asia,asia
afghanistan,afg,voice and accountability,2000-12-31,-2.03141713142395,south asia,asia
afghanistan,afg,voice and accountability,2002-12-31,-1.43342101573944,south asia,asia
afghanistan,afg,voice and accountability,2003-12-31,-1.1775711774826,south asia,asia
afghanistan,afg,voice and accountability,2004-12-31,-1.20303392410278,south asia,asia
afghanistan,afg,voice and accountability,2005-12-31,-1.12542963027954,south asia,asia
afghanistan,afg,voice and accountability,2006-12-31,-1.11029398441315,south asia,asia
afghanistan,afg,voice and accountability,2007-12-31,-1.05765390396118,south asia,asia
afghanistan,afg,voice and accountability,2008-12-31,-1.16890180110931,south asia,asia
afghanistan,afg,voice and accountability,2009-12-31,-1.37549519538879,south asia,asia
afghanistan,afg,voice and accountability,2010-12-31,-1.40446734428406,south asia,asia
afghanistan,afg,voice and accountability,2011-12-31,-1.33597695827484,south asia,asia
afghanistan,afg,voice and accountability,2012-12-31,-1.26743006706238,south asia,asia
afghanistan,afg,voice and accountability,2013-12-31,-1.24006843566895,south asia,asia
afghanistan,afg,voice and accountability,2014-12-31,-1.13543999195099,south asia,asia
afghanistan,afg,voice and accountability,2015-12-31,-1.11755669116974,south asia,asia
afghanistan,afg,voice and accountability,2016-12-31,-1.03778803348541,south asia,asia
afghanistan,afg,voice and accountability,2017-12-31,-0.990813970565796,south asia,asia
afghanistan,afg,voice and accountability,2018-12-31,-1.01160001754761,south asia,asia
afghanistan,afg,voice and accountability,2019-12-31,-1.00674676895142,south asia,asia
afghanistan,afg,voice and accountability,2020-12-31,-1.07773637771606,south asia,asia
afghanistan,afg,voice and accountability,2021-12-31,-1.57088327407837,south asia,asia
albania,alb,control of corruption,1996-12-31,-0.893903493881226,europe & central asia,europe
albania,alb,control of corruption,1998-12-31,-0.992024779319763,europe & central asia,europe
albania,alb,control of corruption,2000-12-31,-0.855563640594482,europe & central asia,europe
albania,alb,control of corruption,2002-12-31,-0.8453409075737,europe & central asia,europe
albania,alb,control of corruption,2003-12-31,-0.853786587715149,europe & central asia,europe
albania,alb,control of corruption,2004-12-31,-0.723731815814972,europe & central asia,europe
albania,alb,control of corruption,2005-12-31,-0.813263893127441,europe & central asia,europe
albania,alb,control of corruption,2006-12-31,-0.790545284748077,europe & central asia,europe
albania,alb,control of corruption,2007-12-31,-0.706940054893494,europe & central asia,europe
albania,alb,control of corruption,2008-12-31,-0.605212390422821,europe & central asia,europe
albania,alb,control of corruption,2009-12-31,-0.545270919799805,europe & central asia,europe
albania,alb,control of corruption,2010-12-31,-0.531616508960724,europe & central asia,europe
albania,alb,control of corruption,2011-12-31,-0.701794147491455,europe & central asia,europe
albania,alb,control of corruption,2012-12-31,-0.778729438781738,europe & central asia,europe
albania,alb,control of corruption,2013-12-31,-0.750955939292908,europe & central asia,europe
albania,alb,control of corruption,2014-12-31,-0.586141347885132,europe & central asia,europe
albania,alb,control of corruption,2015-12-31,-0.520959854125977,europe & central asia,europe
albania,alb,control of corruption,2016-12-31,-0.44898048043251,europe & central asia,europe
albania,alb,control of corruption,2017-12-31,-0.458256989717484,europe & central asia,europe
albania,alb,control of corruption,2018-12-31,-0.524145126342773,europe & central asia,europe
albania,alb,control of corruption,2019-12-31,-0.543374061584473,europe & central asia,europe
albania,alb,control of corruption,2020-12-31,-0.551931083202362,europe & central asia,europe
albania,alb,control of corruption,2021-12-31,-0.5559241771698,europe & central asia,europe
albania,alb,government effectiveness,1996-12-31,-0.68858790397644,europe & central asia,europe
albania,alb,government effectiveness,1998-12-31,-0.732602536678314,europe & central asia,europe
albania,alb,government effectiveness,2000-12-31,-0.917780160903931,europe & central asia,europe
albania,alb,government effectiveness,2002-12-31,-0.624333381652832,europe & central asia,europe
albania,alb,government effectiveness,2003-12-31,-0.569067299365997,europe & central asia,europe
albania,alb,government effectiveness,2004-12-31,-0.409061759710312,europe & central asia,europe
albania,alb,government effectiveness,2005-12-31,-0.704830586910248,europe & central asia,europe
albania,alb,government effectiveness,2006-12-31,-0.586620807647705,europe & central asia,europe
albania,alb,government effectiveness,2007-12-31,-0.431428492069244,europe & central asia,europe
albania,alb,government effectiveness,2008-12-31,-0.370871335268021,europe & central asia,europe
albania,alb,government effectiveness,2009-12-31,-0.254886448383331,europe & central asia,europe
albania,alb,government effectiveness,2010-12-31,-0.278687119483948,europe & central asia,europe
albania,alb,government effectiveness,2011-12-31,-0.200375154614449,europe & central asia,europe
albania,alb,government effectiveness,2012-12-31,-0.267875999212265,europe & central asia,europe
albania,alb,government effectiveness,2013-12-31,-0.323595732450485,europe & central asia,europe
albania,alb,government effectiveness,2014-12-31,-0.04880241304636,europe & central asia,europe
albania,alb,government effectiveness,2015-12-31,0.0592881888151169,europe & central asia,europe
albania,alb,government effectiveness,2016-12-31,0.0597151108086109,europe & central asia,europe
albania,alb,government effectiveness,2017-12-31,0.128729850053787,europe & central asia,europe
albania,alb,government effectiveness,2018-12-31,0.110513411462307,europe & central asia,europe
albania,alb,government effectiveness,2019-12-31,-0.033333245664835,europe & central asia,europe
albania,alb,government effectiveness,2020-12-31,-0.124956652522087,europe & central asia,europe
albania,alb,government effectiveness,2021-12-31,-0.00336363865062594,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,1996-12-31,-0.336625128984451,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,1998-12-31,-0.544004201889038,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2000-12-31,-0.539989590644836,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2002-12-31,-0.297719180583954,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2003-12-31,-0.309780240058899,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2004-12-31,-0.427259683609009,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2005-12-31,-0.505047976970673,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2006-12-31,-0.508157312870026,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2007-12-31,-0.203974649310112,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2008-12-31,-0.0305009130388498,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2009-12-31,-0.0451405122876167,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2010-12-31,-0.191482901573181,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2011-12-31,-0.282379418611526,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2012-12-31,-0.143631592392921,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2013-12-31,0.0919297859072685,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2014-12-31,0.485986232757568,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2015-12-31,0.346129059791565,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2016-12-31,0.344644665718079,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2017-12-31,0.378474771976471,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2018-12-31,0.370515644550323,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2019-12-31,0.111168630421162,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2020-12-31,0.0875523090362549,europe & central asia,europe
albania,alb,political stability and absence of violence/terrorism,2021-12-31,0.109445847570896,europe & central asia,europe
albania,alb,regulatory quality,1996-12-31,-0.474401652812958,europe & central asia,europe
albania,alb,regulatory quality,1998-12-31,-0.441555827856064,europe & central asia,europe
albania,alb,regulatory quality,2000-12-31,-0.415910124778748,europe & central asia,europe
albania,alb,regulatory quality,2002-12-31,-0.311400771141052,europe & central asia,europe
albania,alb,regulatory quality,2003-12-31,-0.490216553211212,europe & central asia,europe
albania,alb,regulatory quality,2004-12-31,-0.187491565942764,europe & central asia,europe
albania,alb,regulatory quality,2005-12-31,-0.400731235742569,europe & central asia,europe
albania,alb,regulatory quality,2006-12-31,-0.14859938621521,europe & central asia,europe
albania,alb,regulatory quality,2007-12-31,0.0345503017306328,europe & central asia,europe
albania,alb,regulatory quality,2008-12-31,0.137666508555412,europe & central asia,europe
albania,alb,regulatory quality,2009-12-31,0.241446003317833,europe & central asia,europe
albania,alb,regulatory quality,2010-12-31,0.233281955122948,europe & central asia,europe
albania,alb,regulatory quality,2011-12-31,0.283972561359406,europe & central asia,europe
albania,alb,regulatory quality,2012-12-31,0.240491986274719,europe & central asia,europe
albania,alb,regulatory quality,2013-12-31,0.25416025519371,europe & central asia,europe
albania,alb,regulatory quality,2014-12-31,0.279037684202194,europe & central asia,europe
albania,alb,regulatory quality,2015-12-31,0.189514964818954,europe & central asia,europe
albania,alb,regulatory quality,2016-12-31,0.196168705821037,europe & central asia,europe
albania,alb,regulatory quality,2017-12-31,0.233086720108986,europe & central asia,europe
albania,alb,regulatory quality,2018-12-31,0.266459137201309,europe & central asia,europe
albania,alb,regulatory quality,2019-12-31,0.285658627748489,europe & central asia,europe
albania,alb,regulatory quality,2020-12-31,0.235864624381065,europe & central asia,europe
albania,alb,regulatory quality,2021-12-31,0.1927540153265,europe & central asia,europe
albania,alb,rule of law,1996-12-31,-0.684481799602509,europe & central asia,europe
albania,alb,rule of law,1998-12-31,-0.929671704769135,europe & central asia,europe
albania,alb,rule of law,2000-12-31,-1.02066767215729,europe & central asia,europe
albania,alb,rule of law,2002-12-31,-0.762321412563324,europe & central asia,europe
albania,alb,rule of law,2003-12-31,-0.716323494911194,europe & central asia,europe
albania,alb,rule of law,2004-12-31,-0.701032340526581,europe & central asia,europe
albania,alb,rule of law,2005-12-31,-0.763833165168762,europe & central asia,europe
albania,alb,rule of law,2006-12-31,-0.703135848045349,europe & central asia,europe
albania,alb,rule of law,2007-12-31,-0.661545991897583,europe & central asia,europe
albania,alb,rule of law,2008-12-31,-0.600079298019409,europe & central asia,europe
albania,alb,rule of law,2009-12-31,-0.49437016248703,europe & central asia,europe
albania,alb,rule of law,2010-12-31,-0.385760486125946,europe & central asia,europe
albania,alb,rule of law,2011-12-31,-0.442926466464996,europe & central asia,europe
albania,alb,rule of law,2012-12-31,-0.519839763641357,europe & central asia,europe
albania,alb,rule of law,2013-12-31,-0.51860600709915206,europe & central asia,europe
albania,alb,rule of law,2014-12-31,-0.310979843139648,europe & central asia,europe
albania,alb,rule of law,2015-12-31,-0.298862904310226,europe & central asia,europe
albania,alb,rule of law,2016-12-31,-0.304018437862396,europe & central asia,europe
albania,alb,rule of law,2017-12-31,-0.395079284906387,europe & central asia,europe
albania,alb,rule of law,2018-12-31,-0.395619302988052,europe & central asia,europe
albania,alb,rule of law,2019-12-31,-0.402843326330185,europe & central asia,europe
albania,alb,rule of law,2020-12-31,-0.349165230989456,europe & central asia,europe
albania,alb,rule of law,2021-12-31,-0.256100863218308,europe & central asia,europe
albania,alb,voice and accountability,1996-12-31,-0.648297846317291,europe & central asia,europe
albania,alb,voice and accountability,1998-12-31,-0.387372851371765,europe & central asia,europe
albania,alb,voice and accountability,2000-12-31,-0.285138666629791,europe & central asia,europe
albania,alb,voice and accountability,2002-12-31,-0.00815020967274904,europe & central asia,europe
albania,alb,voice and accountability,2003-12-31,0.0703076869249344,europe & central asia,europe
albania,alb,voice and accountability,2004-12-31,0.00723749911412597,europe & central asia,europe
albania,alb,voice and accountability,2005-12-31,0.0036717876791954,europe & central asia,europe
albania,alb,voice and accountability,2006-12-31,0.0758899599313736,europe & central asia,europe
albania,alb,voice and accountability,2007-12-31,0.113008469343185,europe & central asia,europe
albania,alb,voice and accountability,2008-12-31,0.174939081072807,europe & central asia,europe
albania,alb,voice and accountability,2009-12-31,0.141477331519127,europe & central asia,europe
albania,alb,voice and accountability,2010-12-31,0.123838223516941,europe & central asia,europe
albania,alb,voice and accountability,2011-12-31,0.0623337626457214,europe & central asia,europe
albania,alb,voice and accountability,2012-12-31,0.0220640376210213,europe & central asia,europe
albania,alb,voice and accountability,2013-12-31,0.0488925911486149,europe & central asia,europe
albania,alb,voice and accountability,2014-12-31,0.143777400255203,europe & central asia,europe
albania,alb,voice and accountability,2015-12-31,0.157161772251129,europe & central asia,europe
albania,alb,voice and accountability,2016-12-31,0.170948684215546,europe & central asia,europe
albania,alb,voice and accountability,2017-12-31,0.203805893659592,europe & central asia,europe
albania,alb,voice and accountability,2018-12-31,0.180729448795319,europe & central asia,europe
albania,alb,voice and accountability,2019-12-31,0.142711371183395,europe & central asia,europe
albania,alb,voice and accountability,2020-12-31,0.0883624628186226,europe & central asia,europe
albania,alb,voice and accountability,2021-12-31,0.091204971075058,europe & central asia,europe
algeria,dza,control of corruption,1996-12-31,-0.566740930080414,middle east & north africa,africa
algeria,dza,control of corruption,1998-12-31,-0.916649281978607,middle east & north africa,africa
algeria,dza,control of corruption,2000-12-31,-0.987298190593719,middle east & north africa,africa
algeria,dza,control of corruption,2002-12-31,-0.928754985332489,middle east & north africa,africa
algeria,dza,control of corruption,2003-12-31,-0.715244472026825,middle east & north africa,africa
algeria,dza,control of corruption,2004-12-31,-0.699272692203522,middle east & north africa,africa
algeria,dza,control of corruption,2005-12-31,-0.466420471668243,middle east & north africa,africa
algeria,dza,control of corruption,2006-12-31,-0.564962565898895,middle east & north africa,africa
algeria,dza,control of corruption,2007-12-31,-0.592309474945068,middle east & north africa,africa
algeria,dza,control of corruption,2008-12-31,-0.633444845676422,middle east & north africa,africa
algeria,dza,control of corruption,2009-12-31,-0.614938259124756,middle east & north africa,africa
algeria,dza,control of corruption,2010-12-31,-0.552147269248962,middle east & north africa,africa
algeria,dza,control of corruption,2011-12-31,-0.572699666023254,middle east & north africa,africa
algeria,dza,control of corruption,2012-12-31,-0.521544516086578,middle east & north africa,africa
algeria,dza,control of corruption,2013-12-31,-0.472622781991959,middle east & north africa,africa
algeria,dza,control of corruption,2014-12-31,-0.61265641450882,middle east & north africa,africa
algeria,dza,control of corruption,2015-12-31,-0.616887092590332,middle east & north africa,africa
algeria,dza,control of corruption,2016-12-31,-0.652786314487457,middle east & north africa,africa
algeria,dza,control of corruption,2017-12-31,-0.576397895812988,middle east & north africa,africa
algeria,dza,control of corruption,2018-12-31,-0.637313365936279,middle east & north africa,africa
algeria,dza,control of corruption,2019-12-31,-0.63569438457489,middle east & north africa,africa
algeria,dza,control of corruption,2020-12-31,-0.645068347454071,middle east & north africa,africa
algeria,dza,control of corruption,2021-12-31,-0.614184439182281,middle east & north africa,africa
algeria,dza,government effectiveness,1996-12-31,-1.08876645565033,middle east & north africa,africa
algeria,dza,government effectiveness,1998-12-31,-0.883071959018707,middle east & north africa,africa
algeria,dza,government effectiveness,2000-12-31,-1.01074934005737,middle east & north africa,africa
algeria,dza,government effectiveness,2002-12-31,-0.614207327365875,middle east & north africa,africa
algeria,dza,government effectiveness,2003-12-31,-0.670340299606323,middle east & north africa,africa
algeria,dza,government effectiveness,2004-12-31,-0.553408741950989,middle east & north africa,africa
algeria,dza,government effectiveness,2005-12-31,-0.4386146068573,middle east & north africa,africa
algeria,dza,government effectiveness,2006-12-31,-0.43114972114563,middle east & north africa,africa
algeria,dza,government effectiveness,2007-12-31,-0.53074586391449,middle east & north africa,africa
algeria,dza,government effectiveness,2008-12-31,-0.596755087375641,middle east & north africa,africa
algeria,dza,government effectiveness,2009-12-31,-0.529050767421722,middle east & north africa,africa
algeria,dza,government effectiveness,2010-12-31,-0.388126194477081,middle east & north africa,africa
algeria,dza,government effectiveness,2011-12-31,-0.514732301235199,middle east & north africa,africa
algeria,dza,government effectiveness,2012-12-31,-0.444745928049088,middle east & north africa,africa
algeria,dza,government effectiveness,2013-12-31,-0.428817510604858,middle east & north africa,africa
algeria,dza,government effectiveness,2014-12-31,-0.336888343095779,middle east & north africa,africa
algeria,dza,government effectiveness,2015-12-31,-0.37799397110939,middle east & north africa,africa
algeria,dza,government effectiveness,2016-12-31,-0.430877894163132,middle east & north africa,africa
algeria,dza,government effectiveness,2017-12-31,-0.506708323955536,middle east & north africa,africa
algeria,dza,government effectiveness,2018-12-31,-0.457864254713058,middle east & north africa,africa
algeria,dza,government effectiveness,2019-12-31,-0.54141891002655,middle east & north africa,africa
algeria,dza,government effectiveness,2020-12-31,-0.544885635375977,middle east & north africa,africa
algeria,dza,government effectiveness,2021-12-31,-0.620759844779968,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,1996-12-31,-1.78331053256989,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,1998-12-31,-1.87890470027924,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2000-12-31,-1.43257737159729,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2002-12-31,-1.63456511497498,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2003-12-31,-1.75440907478333,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2004-12-31,-1.35918843746185,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2005-12-31,-0.913666009902954,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2006-12-31,-1.1264134645462,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2007-12-31,-1.15058553218842,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2008-12-31,-1.09584629535675,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2009-12-31,-1.19691348075867,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2010-12-31,-1.25936758518219,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2011-12-31,-1.36056065559387,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2012-12-31,-1.32504332065582,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2013-12-31,-1.20237147808075,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2014-12-31,-1.19053518772125,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2015-12-31,-1.0901597738266,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2016-12-31,-1.09752571582794,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2017-12-31,-0.915799140930176,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2018-12-31,-0.836119592189789,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2019-12-31,-1.04434263706207,middle east & north africa,africa
algeria,dza,political stability and absence of violence/terrorism,2020-12-31,-0.840253829956055,middle east & north africa,africa
